,DEPT,HCAL,GR,DTCO,DTSM,NPHI,RHOZ,PEFZ,facies,facies_number,Kmeans
389,10869.0,8.652,36.6208,56.4684,102.0004,0.0211,2.7186,4.813,clean,1,2
390,10869.5,8.6296,39.6113,54.9085,101.8928,0.0314,2.7086,4.8308,clean,1,2
391,10870.0,8.6296,42.3028,54.6241,101.9682,0.0343,2.7058,4.8227,clean,1,2
392,10870.5,8.652,48.4591,55.4312,102.9765,0.0341,2.7161,4.748,clean,1,2
393,10871.0,8.6296,52.6459,56.5259,103.2491,0.0303,2.7125,4.734,shale,2,2
394,10871.5,8.652,53.8421,57.4431,104.0706,0.0312,2.7134,4.7009,shale,2,2
395,10872.0,8.652,49.7379,58.4672,105.4776,0.0318,2.7,4.7944,clean,1,2
396,10872.5,8.652,41.6634,58.2865,104.9681,0.0246,2.706,4.8405,clean,1,2
397,10873.0,8.6296,38.3739,58.3409,105.2666,0.0181,2.7178,4.8531,clean,1,2
398,10873.5,8.652,37.9963,57.6167,104.9239,0.0171,2.7261,4.816,clean,1,2
399,10874.0,8.6296,44.7825,57.106,104.0887,0.0254,2.7294,4.7263,clean,1,2
400,10874.5,8.652,49.2899,57.2052,104.0338,0.0343,2.7263,4.6533,clean,1,2
401,10875.0,8.652,49.2731,56.6465,103.4884,0.0419,2.7296,4.5612,clean,1,2
402,10875.5,8.6745,49.9633,56.5311,103.2355,0.0488,2.7263,4.532,clean,1,2
403,10876.0,8.652,48.5004,56.4651,103.4751,0.0492,2.7099,4.5957,clean,1,2
404,10876.5,8.652,53.2852,56.5533,103.5215,0.0489,2.7059,4.6315,shale,2,2
405,10877.0,8.652,47.9023,56.846,103.6627,0.042,2.7205,4.5886,clean,1,2
406,10877.5,8.6296,46.8762,56.8166,103.709,0.0411,2.7362,4.5602,clean,1,2
407,10878.0,8.6296,40.2971,56.723,104.0599,0.0374,2.7451,4.5527,clean,1,2
408,10878.5,8.652,43.8857,56.633,104.4428,0.0378,2.7339,4.6326,clean,1,2
409,10879.0,8.652,43.8857,56.8079,104.5749,0.0423,2.7184,4.6956,clean,1,2
410,10879.5,8.6408,46.8762,57.2941,104.571,0.044,2.7064,4.7241,clean,1,2
411,10880.0,8.652,44.4838,57.5954,104.8595,0.0374,2.7079,4.6958,clean,1,2
412,10880.5,8.652,46.5359,58.3114,105.2142,0.0355,2.7075,4.7065,clean,1,2
413,10881.0,8.652,44.4426,58.3476,105.1837,0.0358,2.7033,4.752,clean,1,2
414,10881.5,8.652,46.5359,57.4554,104.7387,0.0394,2.7041,4.7593,clean,1,2
415,10882.0,8.6296,45.4756,57.098,104.6942,0.0378,2.711,4.7083,clean,1,2
416,10882.5,8.652,47.7773,56.9814,105.0145,0.0404,2.7135,4.6889,clean,1,2
417,10883.0,8.6296,48.6968,57.1473,104.9943,0.046,2.71,4.7255,clean,1,2
418,10883.5,8.652,48.378,56.96,104.8937,0.0415,2.7058,4.7813,clean,1,2
419,10884.0,8.652,47.6093,57.0793,104.8742,0.0442,2.7112,4.7668,clean,1,2
420,10884.5,8.6745,49.7053,56.52,105.0125,0.0427,2.7127,4.7624,clean,1,2
421,10885.0,8.652,46.7103,56.5753,105.3805,0.0469,2.7185,4.762,clean,1,2
422,10885.5,8.652,46.9716,56.9926,105.693,0.0412,2.7219,4.8018,clean,1,2
423,10886.0,8.6296,41.8814,57.0206,105.4469,0.0388,2.7244,4.819,clean,1,2
424,10886.5,8.652,45.7735,57.1373,105.9219,0.0392,2.7182,4.8306,clean,1,2
425,10887.0,8.6296,46.8098,57.0056,105.6182,0.0399,2.7077,4.8371,clean,1,2
426,10887.5,8.6296,45.2959,56.9028,105.8382,0.0369,2.7028,4.8345,clean,1,2
427,10888.0,8.652,46.4921,57.0216,106.16,0.0381,2.7061,4.8124,clean,1,2
428,10888.5,8.652,46.2356,57.1059,106.2817,0.0459,2.7077,4.8033,clean,1,2
429,10889.0,8.652,49.8242,57.2703,106.5855,0.0482,2.7091,4.8017,clean,1,2
430,10889.5,8.6745,46.8337,58.3108,106.5069,0.0455,2.7078,4.8102,clean,1,2
431,10890.0,8.6745,47.8597,57.4409,105.7231,0.0406,2.707,4.8184,clean,1,2
432,10890.5,8.652,49.6541,57.6049,104.2848,0.0438,2.7025,4.8467,clean,1,2
433,10891.0,8.697,54.1399,56.5007,103.2058,0.0489,2.6997,4.8945,shale,2,2
434,10891.5,8.6745,51.5747,54.5714,102.7755,0.0498,2.6997,4.944,shale,2,2
435,10892.0,8.6745,48.2851,54.5434,103.8175,0.0469,2.7065,4.9313,clean,1,2
436,10892.5,8.652,47.388,54.9958,103.7772,0.0454,2.7091,4.8942,clean,1,2
437,10893.0,8.652,52.3572,56.3612,103.6839,0.048,2.7099,4.8591,shale,2,2
438,10893.5,8.6296,52.6933,56.6338,104.1349,0.0505,2.7054,4.8896,shale,2,2
439,10894.0,8.652,53.5904,56.4503,104.4552,0.0507,2.7135,5.0019,shale,2,2
440,10894.5,8.6745,42.978,56.4898,105.0216,0.0374,2.7315,5.2166,clean,1,2
441,10895.0,8.6745,38.1561,56.642,105.2765,0.0199,2.7583,5.3521,clean,1,2
442,10895.5,8.6296,34.5868,56.6339,104.9359,0.0128,2.7738,5.2775,clean,1,2
443,10896.0,8.652,41.5875,56.6387,105.0479,0.0175,2.7806,5.0017,clean,1,2
444,10896.5,8.6296,46.4095,56.5065,105.3061,0.0326,2.7638,4.816,clean,1,2
445,10897.0,8.6296,44.014,56.4323,105.1659,0.0404,2.7379,4.8251,clean,1,2
